"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score"
"08/04/26 05:00 PM",1,"David Whitley",485,"Tony Boyle",369
"08/04/26 05:01 PM",1,"Marlon Hill",500,"Gary Smart",401
"08/04/26 05:02 PM",1,"Dan Blake",511,"Peter Schwartzman",329
"08/04/26 06:00 PM",2,"David Whitley",463,"Dan Blake",367
"08/04/26 06:01 PM",2,"Peter Schwartzman",478,"Marlon Hill",394
"08/04/26 06:02 PM",2,"Tony Boyle",377,"Gary Smart",362
"08/04/26 07:00 PM",3,"David Whitley",402,"Marlon Hill",388
"08/04/26 07:01 PM",3,"Dan Blake",386,"Gary Smart",344
"08/04/26 07:02 PM",3,"Peter Schwartzman",407,"Tony Boyle",266
"08/04/26 08:00 PM",4,"Dan Blake",431,"David Whitley",380
"08/04/26 08:01 PM",4,"Marlon Hill",401,"Peter Schwartzman",372
"08/04/26 08:02 PM",4,"Gary Smart",418,"Tony Boyle",372
