"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score"
08/01/26 06:53 AM,1,"Pamina Deutsch",454,"Kaia",399
08/01/26 06:56 AM,1,"Osikhena Ojior",399,"Tony Boyle",356
08/01/26 06:57 AM,1,"Mark Francillon",547,"Donna Staley",234
08/01/26 06:57 AM,1,"Gary Smart",534,"Beth Leech",314
08/01/26 06:58 AM,1,"Ayodele Odekunle",478,"Tobey Roland",371
08/01/26 07:06 AM,1,"Yvonne Lobo",469,"Gerianne Abriano",359
08/01/26 07:06 AM,1,"Fidelis Olotu",506,"Cheryl Melvin",351
08/01/26 07:12 AM,1,"Noel Livermore",462,"Caroline Polak Scowcroft",322
08/01/26 07:48 AM,2,"Osikhena Ojior",402,"Gerianne Abriano",318
08/01/26 07:51 AM,2,"Noel Livermore",512,"Tobey Roland",424
08/01/26 07:52 AM,2,"Pamina Deutsch",367,"Fidelis Olotu",358
08/01/26 07:52 AM,2,"Gary Smart",389,"Kaia",368
08/01/26 07:55 AM,2,"Cheryl Melvin",414,"Yvonne Lobo",348
08/01/26 07:57 AM,2,"Caroline Polak Scowcroft",413,"Donna Staley",256
08/01/26 07:57 AM,2,"Beth Leech",391,"Ayodele Odekunle",389
08/01/26 07:59 AM,2,"Mark Francillon",431,"Tony Boyle",339
08/01/26 08:35 AM,3,"Gary Smart",479,"Fidelis Olotu",432
08/01/26 08:42 AM,3,"Kaia",450,"Ayodele Odekunle",409
08/01/26 08:42 AM,3,"Osikhena Ojior",382,"Cheryl Melvin",341
08/01/26 08:48 AM,3,"Pamina Deutsch",373,"Yvonne Lobo",362
08/01/26 08:53 AM,3,"Tobey Roland",408,"Donna Staley",327
08/01/26 08:53 AM,3,"Tony Boyle",414,"Gerianne Abriano",312
08/01/26 08:58 AM,3,"Beth Leech",408,"Noel Livermore",324
08/01/26 09:03 AM,3,"Mark Francillon",489,"Caroline Polak Scowcroft",330
08/01/26 11:45 AM,4,"Yvonne Lobo",410,"Gary Smart",385
08/01/26 11:46 AM,4,"Mark Francillon",443,"Gerianne Abriano",345
08/01/26 11:50 AM,4,"Ayodele Odekunle",423,"Fidelis Olotu",327
08/01/26 11:51 AM,4,"Osikhena Ojior",484,"Pamina Deutsch",348
08/01/26 11:52 AM,4,"Tony Boyle",404,"Cheryl Melvin",382
08/01/26 11:53 AM,4,"Beth Leech",396,"Donna Staley",323
08/01/26 11:54 AM,4,"Tobey Roland",430,"Caroline Polak Scowcroft",335
08/01/26 11:55 AM,4,"Kaia",377,"Noel Livermore",376
