Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
7/9/2022 8:21,1,Geoff Thevenot,492,Winter,287
7/9/2022 8:21,1,Thomas Reinke,491,David Whitley,407
7/9/2022 8:26,1,Brian Bowman,456,Charles Reinke,392
7/9/2022 8:26,1,Will Anderson,477,James Curley,444
7/9/2022 8:28,1,Joel Wapnick,487,Waseem Khatri,364
7/9/2022 8:28,1,Austin Shin,450,Fidelis Olotu,384
7/9/2022 8:30,1,Joshua Castellano,513,Rasheed Balogun,435
7/9/2022 8:31,1,David Eldar,50,Bye,0
7/9/2022 8:32,1,Sammy Okosagah,354,Sandy Nang,349
7/9/2022 8:36,1,Ben Schoenbrun,451,Becky Dyer,437
7/9/2022 8:37,1,David Brown,444,Adam Logan,402
7/9/2022 8:37,1,Chris Lipe,477,Moiz Ullah Baig,417
7/9/2022 8:38,1,Jason Keller,437,Wolfram Poh,388
7/9/2022 8:40,1,Conrad Bassett-Bouchard,406,Zbigniew Wieckowski,393
7/9/2022 8:40,1,Puneet Sharma,416,John O'Laughlin,324
7/9/2022 8:41,1,Jesse Day,484,Mark Francillon,460
7/9/2022 8:42,1,Evan Berofsky,423,Mark Kenas,384
7/9/2022 8:43,1,Dave Wiegand,432,Mohammad Sulaiman,349
7/9/2022 8:43,1,David Webb,397,Marlon Prudencio,340
7/9/2022 8:44,1,Femi Awowade,420,Peter Armstrong,375
7/9/2022 8:51,2,Peter Armstrong,50,Bye,0
7/9/2022 9:22,2,Charles Reinke,494,Sammy Okosagah,462
7/9/2022 9:25,2,Brian Bowman,554,Sandy Nang,344
7/9/2022 9:26,2,James Curley,436,Ben Schoenbrun,390
7/9/2022 9:28,2,David Brown,490,Rasheed Balogun,430
7/9/2022 9:28,2,Thomas Reinke,465,Mark Francillon,429
7/9/2022 9:31,2,Joel Wapnick,447,Fidelis Olotu,340
7/9/2022 9:33,2,Becky Dyer,439,Will Anderson,414
7/9/2022 9:34,2,Conrad Bassett-Bouchard,484,David Webb,462
7/9/2022 9:36,2,Winter,412,Dave Wiegand,348
7/9/2022 9:37,2,Marlon Prudencio,501,Zbigniew Wieckowski,396
7/9/2022 9:38,2,Jason Keller,436,Moiz Ullah Baig,373
7/9/2022 9:38,2,Geoff Thevenot,415,Mohammad Sulaiman,363
7/9/2022 9:38,2,David Eldar,505,Femi Awowade,319
7/9/2022 9:39,2,Chris Lipe,515,Wolfram Poh,429
7/9/2022 9:40,2,Waseem Khatri,518,Austin Shin,452
7/9/2022 9:40,2,Mark Kenas,548,John O'Laughlin,319
7/9/2022 9:44,2,Adam Logan,466,Joshua Castellano,307
7/9/2022 9:44,2,Evan Berofsky,451,Puneet Sharma,359
7/9/2022 9:46,2,Jesse Day,484,David Whitley,473
7/9/2022 9:58,3,Femi Awowade,50,Bye,0
7/9/2022 10:17,3,Brian Bowman,484,Sammy Okosagah,313
7/9/2022 10:20,3,Ben Schoenbrun,439,Will Anderson,386
7/9/2022 10:25,3,Charles Reinke,456,Sandy Nang,420
7/9/2022 10:31,3,Dave Wiegand,527,Geoff Thevenot,299
7/9/2022 10:31,3,Adam Logan,468,Rasheed Balogun,400
7/9/2022 10:32,3,Becky Dyer,435,James Curley,386
7/9/2022 10:34,3,Joel Wapnick,521,Austin Shin,390
7/9/2022 10:35,3,Marlon Prudencio,463,Conrad Bassett-Bouchard,405
7/9/2022 10:36,3,David Eldar,472,Peter Armstrong,398
7/9/2022 10:36,3,Jason Keller,465,Chris Lipe,399
7/9/2022 10:36,3,David Webb,624,Zbigniew Wieckowski,261
7/9/2022 10:36,3,Mohammad Sulaiman,476,Winter,426
7/9/2022 10:37,3,Evan Berofsky,529,John O'Laughlin,430
7/9/2022 10:39,3,Fidelis Olotu,410,Waseem Khatri,395
7/9/2022 10:39,3,Thomas Reinke,463,Jesse Day,438
7/9/2022 10:40,3,Joshua Castellano,466,David Brown,304
7/9/2022 10:42,3,David Whitley,534,Mark Francillon,347
7/9/2022 10:45,3,Puneet Sharma,448,Mark Kenas,368
7/9/2022 10:46,4,David Whitley,50,Bye,0
7/9/2022 10:46,3,Wolfram Poh,395,Moiz Ullah Baig,339
7/9/2022 12:35,4,Dave Wiegand,489,David Webb,335
7/9/2022 12:38,4,Waseem Khatri,580,Ben Schoenbrun,358
7/9/2022 12:45,4,Chris Lipe,488,Evan Berofsky,438
7/9/2022 12:46,4,Sammy Okosagah,519,Puneet Sharma,383
7/9/2022 12:48,4,Charles Reinke,491,Becky Dyer,433
7/9/2022 12:49,4,John O'Laughlin,473,Sandy Nang,344
7/9/2022 12:50,4,Geoff Thevenot,418,Brian Bowman,414
7/9/2022 12:52,4,Moiz Ullah Baig,445,Zbigniew Wieckowski,429
7/9/2022 12:54,4,Femi Awowade,409,Mark Francillon,328
7/9/2022 12:56,4,Joshua Castellano,479,Winter,458
7/9/2022 12:56,4,Thomas Reinke,486,Jason Keller,437
7/9/2022 12:57,4,James Curley,401,Austin Shin,375
7/9/2022 12:58,4,Fidelis Olotu,435,Rasheed Balogun,371
7/9/2022 12:58,4,David Eldar,541,Joel Wapnick,344
7/9/2022 12:58,4,Marlon Prudencio,453,Adam Logan,359
7/9/2022 12:59,4,Conrad Bassett-Bouchard,545,David Brown,284
7/9/2022 13:02,4,Jesse Day,438,Mark Kenas,373
7/9/2022 13:02,4,Wolfram Poh,443,Mohammad Sulaiman,347
7/9/2022 13:03,4,Will Anderson,466,Peter Armstrong,412
7/9/2022 13:28,5,Geoff Thevenot,537,Ben Schoenbrun,406
7/9/2022 13:30,5,Sammy Okosagah,50,Bye,0
7/9/2022 13:41,5,John O'Laughlin,497,Zbigniew Wieckowski,385
7/9/2022 13:42,5,Mark Francillon,464,Sandy Nang,463
7/9/2022 13:50,5,Joshua Castellano,425,Chris Lipe,382
7/9/2022 13:50,5,Becky Dyer,509,Puneet Sharma,460
7/9/2022 13:51,5,Dave Wiegand,444,Marlon Prudencio,423
7/9/2022 13:51,5,Moiz Ullah Baig,531,Rasheed Balogun,357
7/9/2022 13:52,5,James Curley,386,David Whitley,366
7/9/2022 13:53,5,Fidelis Olotu,463,Winter,402
7/9/2022 13:55,5,David Webb,426,Adam Logan,390
7/9/2022 13:55,5,Wolfram Poh,471,Waseem Khatri,458
7/9/2022 13:56,5,Evan Berofsky,470,David Eldar,356
7/9/2022 13:56,5,Brian Bowman,475,Joel Wapnick,319
7/9/2022 13:57,5,Thomas Reinke,633,David Brown,396
7/9/2022 13:58,5,Will Anderson,470,Conrad Bassett-Bouchard,372
7/9/2022 14:02,5,Peter Armstrong,464,Jason Keller,358
7/9/2022 14:04,5,Femi Awowade,416,Mark Kenas,363
7/9/2022 14:07,5,Jesse Day,488,Charles Reinke,468
7/9/2022 14:07,5,Austin Shin,501,Mohammad Sulaiman,374
7/9/2022 14:32,6,Sandy Nang,426,Zbigniew Wieckowski,351
7/9/2022 14:32,6,Mark Francillon,593,Rasheed Balogun,361
7/9/2022 14:35,6,David Whitley,449,Waseem Khatri,388
7/9/2022 14:43,6,John O'Laughlin,50,Bye,0
7/9/2022 14:46,6,Dave Wiegand,556,Brian Bowman,391
7/9/2022 14:47,6,Ben Schoenbrun,460,David Brown,415
7/9/2022 14:50,6,David Webb,607,Femi Awowade,358
7/9/2022 14:53,6,Adam Logan,523,Becky Dyer,322
7/9/2022 14:53,6,Puneet Sharma,440,James Curley,347
7/9/2022 14:54,6,Winter,423,Austin Shin,359
7/9/2022 14:54,6,Geoff Thevenot,435,Charles Reinke,418
7/9/2022 14:56,6,David Eldar,440,Thomas Reinke,394
7/9/2022 14:58,6,Sammy Okosagah,471,Fidelis Olotu,455
7/9/2022 14:58,6,Wolfram Poh,458,Will Anderson,403
7/9/2022 14:59,6,Conrad Bassett-Bouchard,470,Jason Keller,376
7/9/2022 15:00,6,Evan Berofsky,502,Marlon Prudencio,396
7/9/2022 15:05,6,Chris Lipe,478,Joel Wapnick,371
7/9/2022 15:06,6,Peter Armstrong,574,Mark Kenas,266
7/9/2022 15:08,6,Joshua Castellano,437,Jesse Day,379
7/9/2022 15:21,6,Moiz Ullah Baig,439,Mohammad Sulaiman,380
7/9/2022 15:38,7,Sandy Nang,50,Bye,0
7/9/2022 15:38,7,Ben Schoenbrun,450,David Whitley,360
7/9/2022 15:38,7,Adam Logan,473,Fidelis Olotu,395
7/9/2022 15:41,7,Zbigniew Wieckowski,422,Rasheed Balogun,414
7/9/2022 15:44,7,Geoff Thevenot,461,Evan Berofsky,396
7/9/2022 15:46,7,David Brown,482,Waseem Khatri,385
7/9/2022 15:50,7,Austin Shin,571,Puneet Sharma,459
7/9/2022 15:54,7,Marlon Prudencio,489,Will Anderson,465
7/9/2022 15:57,7,Dave Wiegand,429,David Eldar,423
7/9/2022 15:58,7,Charles Reinke,405,Jason Keller,399
7/9/2022 15:59,7,Becky Dyer,519,Wolfram Poh,334
7/9/2022 16:00,7,Conrad Bassett-Bouchard,489,Chris Lipe,384
7/9/2022 16:02,7,Thomas Reinke,518,Brian Bowman,363
7/9/2022 16:03,7,Winter,568,Mark Kenas,400
7/9/2022 16:05,7,John O'Laughlin,424,Peter Armstrong,395
7/9/2022 16:06,7,David Webb,421,Joshua Castellano,415
7/9/2022 16:07,7,Femi Awowade,536,Jesse Day,414
7/9/2022 16:09,7,James Curley,477,Joel Wapnick,448
7/9/2022 16:12,7,Sammy Okosagah,451,Moiz Ullah Baig,431
7/9/2022 16:25,7,Mark Francillon,380,Mohammad Sulaiman,364
7/10/2022 8:15,8,David Brown,477,Sandy Nang,404
7/10/2022 8:15,8,Puneet Sharma,439,Fidelis Olotu,413
7/10/2022 8:16,8,Becky Dyer,528,John O'Laughlin,436
7/10/2022 8:16,8,Austin Shin,456,Mark Francillon,328
7/10/2022 8:16,8,Geoff Thevenot,464,Thomas Reinke,354
7/10/2022 8:17,8,David Webb,494,Brian Bowman,345
7/10/2022 8:18,8,Ben Schoenbrun,502,Joel Wapnick,418
7/10/2022 8:18,8,Femi Awowade,400,Sammy Okosagah,388
7/10/2022 8:18,8,Will Anderson,687,Charles Reinke,440
7/10/2022 8:23,8,Chris Lipe,450,Jesse Day,418
7/10/2022 8:23,8,David Eldar,464,Joshua Castellano,324
7/10/2022 8:24,8,James Curley,440,Jason Keller,409
7/10/2022 8:24,8,Dave Wiegand,450,Evan Berofsky,344
7/10/2022 8:25,8,Zbigniew Wieckowski,412,Mark Kenas,346
7/10/2022 8:25,8,Rasheed Balogun,427,Mohammad Sulaiman,398
7/10/2022 8:26,8,David Whitley,511,Peter Armstrong,407
7/10/2022 8:26,8,Marlon Prudencio,636,Moiz Ullah Baig,398
7/10/2022 8:30,8,Waseem Khatri,464,Winter,399
7/10/2022 8:31,8,Wolfram Poh,524,Conrad Bassett-Bouchard,390
7/10/2022 9:04,9,Dave Wiegand,482,Thomas Reinke,384
7/10/2022 9:08,9,Geoff Thevenot,462,David Webb,453
7/10/2022 9:12,9,Austin Shin,491,Will Anderson,393
7/10/2022 9:13,9,Jason Keller,490,Fidelis Olotu,407
7/10/2022 9:13,9,Sammy Okosagah,506,Joshua Castellano,307
7/10/2022 9:14,9,Puneet Sharma,463,Mark Francillon,314
7/10/2022 9:14,9,David Whitley,459,Moiz Ullah Baig,404
7/10/2022 9:15,9,Rasheed Balogun,472,Mark Kenas,412
7/10/2022 9:18,9,Charles Reinke,466,James Curley,376
7/10/2022 9:19,9,Brian Bowman,479,Marlon Prudencio,355
7/10/2022 9:21,9,Sandy Nang,418,Waseem Khatri,375
7/10/2022 9:23,9,David Brown,396,Joel Wapnick,386
7/10/2022 9:23,9,Chris Lipe,476,Becky Dyer,406
7/10/2022 9:25,9,Evan Berofsky,374,Femi Awowade,320
7/10/2022 9:26,9,John O'Laughlin,402,Ben Schoenbrun,400
7/10/2022 9:26,9,Winter,426,Peter Armstrong,409
7/10/2022 9:27,9,Mohammad Sulaiman,439,Zbigniew Wieckowski,384
7/10/2022 9:29,9,Jesse Day,548,Wolfram Poh,396
7/10/2022 9:30,9,Conrad Bassett-Bouchard,520,David Eldar,431
7/10/2022 10:11,10,John O'Laughlin,569,Charles Reinke,387
7/10/2022 10:12,10,Mark Francillon,544,Waseem Khatri,335
7/10/2022 10:12,10,Jason Keller,458,Winter,436
7/10/2022 10:13,10,Ben Schoenbrun,463,Sammy Okosagah,460
7/10/2022 10:14,10,James Curley,468,Chris Lipe,393
7/10/2022 10:15,10,Joel Wapnick,457,Sandy Nang,385
7/10/2022 10:16,10,Moiz Ullah Baig,424,Fidelis Olotu,385
7/10/2022 10:17,10,Austin Shin,388,Brian Bowman,371
7/10/2022 10:18,10,Marlon Prudencio,452,Becky Dyer,380
7/10/2022 10:18,10,Peter Armstrong,569,David Brown,426
7/10/2022 10:21,10,Mohammad Sulaiman,438,Mark Kenas,394
7/10/2022 10:22,10,Dave Wiegand,464,Femi Awowade,367
7/10/2022 10:24,10,David Whitley,475,Will Anderson,462
7/10/2022 10:25,10,David Eldar,457,Geoff Thevenot,399
7/10/2022 10:26,10,Rasheed Balogun,408,Zbigniew Wieckowski,284
7/10/2022 10:29,10,Evan Berofsky,469,Conrad Bassett-Bouchard,401
7/10/2022 10:30,10,David Webb,448,Thomas Reinke,429
7/10/2022 10:30,10,Puneet Sharma,453,Jesse Day,354
7/10/2022 10:30,10,Wolfram Poh,518,Joshua Castellano,317
7/10/2022 12:43,11,Conrad Bassett-Bouchard,497,Thomas Reinke,445
7/10/2022 12:44,11,Dave Wiegand,470,Geoff Thevenot,379
7/10/2022 12:44,11,David Eldar,495,David Webb,388
7/10/2022 12:47,11,Jason Keller,513,Will Anderson,258
7/10/2022 12:48,11,Evan Berofsky,517,Sammy Okosagah,406
7/10/2022 12:48,11,Rasheed Balogun,381,Mohammad Sulaiman,337
7/10/2022 12:48,11,Joshua Castellano,504,Charles Reinke,353
7/10/2022 12:50,11,Chris Lipe,440,Femi Awowade,382
7/10/2022 12:50,11,Ben Schoenbrun,444,Wolfram Poh,406
7/10/2022 12:51,11,David Whitley,413,Brian Bowman,364
7/10/2022 12:51,11,David Brown,480,John O'Laughlin,428
7/10/2022 12:53,11,Sandy Nang,402,Fidelis Olotu,332
7/10/2022 12:55,11,Mark Francillon,480,Joel Wapnick,429
7/10/2022 12:55,11,Austin Shin,480,Becky Dyer,405
7/10/2022 12:56,11,Jesse Day,502,James Curley,486
7/10/2022 12:56,11,Moiz Ullah Baig,431,Waseem Khatri,381
7/10/2022 12:56,11,Mark Kenas,471,Zbigniew Wieckowski,435
7/10/2022 12:59,11,Puneet Sharma,513,Marlon Prudencio,433
7/10/2022 13:00,11,Winter,505,Peter Armstrong,459
7/10/2022 13:40,12,Mohammad Sulaiman,439,Sandy Nang,391
7/10/2022 13:41,12,Evan Berofsky,500,David Webb,323
7/10/2022 13:41,12,Geoff Thevenot,477,David Eldar,428
7/10/2022 13:42,12,Dave Wiegand,459,David Whitley,387
7/10/2022 13:43,12,Marlon Prudencio,434,Thomas Reinke,410
7/10/2022 13:44,12,Ben Schoenbrun,430,Femi Awowade,403
7/10/2022 13:45,12,Will Anderson,433,Joel Wapnick,361
7/10/2022 13:50,12,Sammy Okosagah,480,Wolfram Poh,363
7/10/2022 13:50,12,Rasheed Balogun,639,Mark Kenas,321
7/10/2022 13:51,12,Winter,497,Mark Francillon,422
7/10/2022 13:51,12,Charles Reinke,460,David Brown,425
7/10/2022 13:52,12,Brian Bowman,461,Jason Keller,451
7/10/2022 13:53,12,Fidelis Olotu,410,Zbigniew Wieckowski,407
7/10/2022 13:54,12,Austin Shin,559,Conrad Bassett-Bouchard,495
7/10/2022 13:55,12,Jesse Day,526,Becky Dyer,368
7/10/2022 13:56,12,John O'Laughlin,473,James Curley,379
7/10/2022 13:57,12,Peter Armstrong,489,Joshua Castellano,343
7/10/2022 14:01,12,Waseem Khatri,460,Moiz Ullah Baig,400
7/10/2022 14:04,12,Chris Lipe,434,Puneet Sharma,395
7/10/2022 14:23,13,Dave Wiegand,479,David Eldar,466
7/10/2022 14:32,13,Evan Berofsky,472,Geoff Thevenot,360
7/10/2022 14:36,13,Will Anderson,445,Sandy Nang,303
7/10/2022 14:40,13,David Webb,484,Austin Shin,459
7/10/2022 14:43,13,Rasheed Balogun,447,Joel Wapnick,410
7/10/2022 14:45,13,Ben Schoenbrun,487,Thomas Reinke,390
7/10/2022 14:45,13,Waseem Khatri,488,Mark Kenas,452
7/10/2022 14:45,13,Joshua Castellano,422,John O'Laughlin,374
7/10/2022 14:50,13,Brian Bowman,499,Winter,394
7/10/2022 14:50,13,Fidelis Olotu,482,Mohammad Sulaiman,375
7/10/2022 14:51,13,Jesse Day,480,Sammy Okosagah,406
7/10/2022 14:51,13,Conrad Bassett-Bouchard,523,Puneet Sharma,339
7/10/2022 14:53,13,David Brown,393,Femi Awowade,347
7/10/2022 14:53,13,Peter Armstrong,586,Zbigniew Wieckowski,278
7/10/2022 14:54,13,Mark Francillon,402,Becky Dyer,341
7/10/2022 14:56,13,Wolfram Poh,442,James Curley,363
7/10/2022 14:58,13,Moiz Ullah Baig,451,Charles Reinke,440
7/10/2022 15:00,13,Marlon Prudencio,419,Jason Keller,389
7/10/2022 15:36,14,Brian Bowman,614,James Curley,396
7/10/2022 15:38,14,Evan Berofsky,472,Dave Wiegand,472
7/10/2022 15:39,14,David Webb,475,Ben Schoenbrun,427
7/10/2022 15:39,14,Waseem Khatri,472,Zbigniew Wieckowski,378
7/10/2022 15:40,14,Geoff Thevenot,508,Chris Lipe,377
7/10/2022 15:40,14,Austin Shin,514,David Eldar,444
7/10/2022 15:40,14,Jason Keller,515,Puneet Sharma,387
7/10/2022 15:41,14,Rasheed Balogun,614,Becky Dyer,384
7/10/2022 15:42,14,Thomas Reinke,398,Charles Reinke,373
7/10/2022 15:43,13,David Whitley,498,Chris Lipe,370
7/10/2022 15:44,14,Will Anderson,519,David Brown,304
7/10/2022 15:45,14,Peter Armstrong,436,Sandy Nang,377
7/10/2022 15:47,14,Conrad Bassett-Bouchard,514,Sammy Okosagah,445
7/10/2022 15:49,14,Mark Kenas,463,Fidelis Olotu,427
7/10/2022 15:49,14,Jesse Day,471,John O'Laughlin,423
7/10/2022 15:53,14,Joshua Castellano,486,Femi Awowade,461
7/10/2022 15:54,14,Moiz Ullah Baig,431,Mark Francillon,381
7/10/2022 15:56,14,Marlon Prudencio,560,David Whitley,401
7/10/2022 15:59,14,Joel Wapnick,420,Mohammad Sulaiman,408
7/10/2022 16:04,14,Wolfram Poh,382,Winter,380
7/11/2022 8:09,15,Geoff Thevenot,455,Conrad Bassett-Bouchard,341
7/11/2022 8:10,15,Chris Lipe,430,Sammy Okosagah,377
7/11/2022 8:11,15,David Webb,427,David Whitley,419
7/11/2022 8:11,15,Moiz Ullah Baig,495,Winter,348
7/11/2022 8:13,15,Will Anderson,523,Rasheed Balogun,374
7/11/2022 8:14,15,Charles Reinke,448,Femi Awowade,411
7/11/2022 8:16,15,Dave Wiegand,504,Ben Schoenbrun,419
7/11/2022 8:17,15,Fidelis Olotu,531,Becky Dyer,377
7/11/2022 8:18,15,Mark Kenas,394,Sandy Nang,376
7/11/2022 8:21,15,David Brown,414,Jason Keller,394
7/11/2022 8:22,15,John O'Laughlin,463,Wolfram Poh,394
7/11/2022 8:23,15,Peter Armstrong,637,Puneet Sharma,229
7/11/2022 8:23,15,Austin Shin,389,Evan Berofsky,376
7/11/2022 8:24,15,James Curley,380,Mark Francillon,376
7/11/2022 8:26,15,Mohammad Sulaiman,452,Waseem Khatri,448
7/11/2022 8:28,15,Jesse Day,439,Brian Bowman,407
7/11/2022 8:29,15,Joshua Castellano,432,Thomas Reinke,391
7/11/2022 8:30,15,Zbigniew Wieckowski,398,Joel Wapnick,365
7/11/2022 8:31,15,David Eldar,438,Marlon Prudencio,412
7/11/2022 9:05,16,James Curley,565,Fidelis Olotu,382
7/11/2022 9:08,16,Rasheed Balogun,513,Jason Keller,373
7/11/2022 9:09,16,John O'Laughlin,484,Sammy Okosagah,433
7/11/2022 9:11,16,Ben Schoenbrun,506,Brian Bowman,417
7/11/2022 9:12,16,Geoff Thevenot,556,Austin Shin,337
7/11/2022 9:13,16,Will Anderson,504,Thomas Reinke,410
7/11/2022 9:16,16,Evan Berofsky,499,David Webb,402
7/11/2022 9:17,16,David Whitley,527,Joshua Castellano,426
7/11/2022 9:17,16,Mark Francillon,461,Charles Reinke,423
7/11/2022 9:19,16,Becky Dyer,508,Mohammad Sulaiman,373
7/11/2022 9:19,16,Winter,549,Femi Awowade,339
7/11/2022 9:20,16,Waseem Khatri,462,Puneet Sharma,431
7/11/2022 9:23,16,Conrad Bassett-Bouchard,428,Dave Wiegand,420
7/11/2022 9:23,16,Sandy Nang,435,Zbigniew Wieckowski,343
7/11/2022 9:27,16,Peter Armstrong,438,Chris Lipe,427
7/11/2022 9:29,16,David Brown,430,Moiz Ullah Baig,416
7/11/2022 9:29,16,Joel Wapnick,552,Mark Kenas,516
7/11/2022 9:32,16,Marlon Prudencio,527,Jesse Day,442
7/11/2022 9:35,16,David Eldar,541,Wolfram Poh,541
7/11/2022 9:57,17,Geoff Thevenot,551,David Webb,332
7/11/2022 10:11,17,Thomas Reinke,417,Rasheed Balogun,336
7/11/2022 10:14,17,Mark Francillon,350,Fidelis Olotu,329
7/11/2022 10:16,17,Winter,581,Zbigniew Wieckowski,381
7/11/2022 10:17,17,Becky Dyer,450,Sandy Nang,325
7/11/2022 10:18,17,Waseem Khatri,517,James Curley,360
7/11/2022 10:18,17,Dave Wiegand,465,Austin Shin,446
7/11/2022 10:19,17,David Whitley,486,John O'Laughlin,396
7/11/2022 10:19,17,Chris Lipe,529,Marlon Prudencio,477
7/11/2022 10:20,17,Sammy Okosagah,492,Jason Keller,359
7/11/2022 10:21,17,Will Anderson,476,Moiz Ullah Baig,416
7/11/2022 10:22,17,David Eldar,588,Ben Schoenbrun,422
7/11/2022 10:24,17,Charles Reinke,465,Puneet Sharma,371
7/11/2022 10:28,17,Joshua Castellano,429,Conrad Bassett-Bouchard,383
7/11/2022 10:30,17,Mohammad Sulaiman,405,Femi Awowade,332
7/11/2022 10:32,17,Jesse Day,437,Evan Berofsky,424
7/11/2022 10:33,17,Peter Armstrong,465,Brian Bowman,456
7/11/2022 10:37,17,Wolfram Poh,476,David Brown,320
7/11/2022 10:40,17,Mark Kenas,460,Joel Wapnick,454
7/11/2022 12:35,18,Marlon Prudencio,527,Geoff Thevenot,418
7/11/2022 12:43,18,Austin Shin,505,Ben Schoenbrun,405
7/11/2022 12:44,18,Sandy Nang,471,Femi Awowade,391
7/11/2022 12:45,18,Mark Kenas,518,Becky Dyer,329
7/11/2022 12:45,18,Joel Wapnick,456,Charles Reinke,340
7/11/2022 12:46,18,Dave Wiegand,444,David Webb,351
7/11/2022 12:47,18,John O'Laughlin,504,Chris Lipe,450
7/11/2022 12:50,18,Waseem Khatri,520,Jason Keller,375
7/11/2022 12:50,18,David Whitley,472,David Brown,357
7/11/2022 12:51,18,Sammy Okosagah,498,Mark Francillon,306
